Machine Name,Client,Contact person,phone number,In charge of machine (name),Role,No,LOCATION,Machine S/No,Installation Date,Last Service Date,Next Service
Dental X-Ray Machine,Palmcare Hospital,Dr Odhiambo,721169686,,,,Eldoret,,,,
Dental X-Ray Machine,Bangaal Nursing Home,Abdihakim,722394181,,,,Wajir,,,,
Dental X-Ray Machine,Qyeraat Hospital,Ann,759614423,,,,Nairobi,,,,
Dental X-Ray Machine,St Joseph Mukasa,,790449964,Catherine Kavete,Dentist,700426413,Nairobi,2306026,,,
Dental Machine,Mercy Light Hospital,Judith,710624454,,,,Kiambu,,,,
Dental Machine,Gods Favour,Dennis,714074024,,,,Kitale,,,,
Dental Machine,Blue OAK Pharmacy,Jonathan,728814444,,,,Nandi,,,,
Dental Machine,Ixtiram Pharmacy and Dental,Abdi,721358728,,,,Eastleigh,,,,
Dental Machine,Bayaan Nursing Home,Chairman,702033380,,,,Wajir,,,,
Dental Machine,Arawelo Medical Centre,Kadro,iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,,,758831440,South C,,,,
Dental Machine,Mathingira Medical Centre,John,727677462,,,,Chaka/Othaya,,,,
Dental Machine,Wamo medical centre,Ahmud,722267364,,,,Nrb,,,,
Dental Machine,St Johns Divine,John,727677462,,,,Chaka,,,,
Dental Machine,Asad Medical Centre Annex,China,715558111,,,,Hagadera,,,,
Dental Machine,Tamra Pharmaceuticals,Abdi,721503032,,,,Ifo,,,,
Dental Machine,Katito Medical Centre,Godfrey,724817266,Anthony Langat,Dentist,724223132,Mbita,,,19/7/2024,19/02/2025
Dental Machine,Kalobeyei Main Medical Centre,Robert Wabwire,70125662,,,,Kakuma,,,,
Dental Machine,Rising Star Hospital,Charles,743268809,,,,,,,,
Dental Machine,Maxwell,,,,,,,,,,
Dental Machine,Palmcare Hospital,Dr Odhiambo,721169686,,,,Eldoret,,,,
Dental Machine,Guardian Hospital,Wangari,748506595,,,,,,,,
Dental Machine,Qyeraat Hospital,Ann,759614423,,,,,,,,
Dental Machine,Rushcare Supplies,Abdi,704733531,,,,Nairobi,,,,
Dental Machine,Maa Dental Clinic,Adan Kheir,722413692,Pauline,Dentist,746008919,Narok,4070923194,16/5/2024,02/07/2025,08/07/2025
Dental Machine,Sterling Medical Centre,John Barasa,707441758,,,,Nambale,20182550134,30/04/2026,,
Dental Machine,Dawafront Hospital,,,,,,Kisumu,CDXH501EQZ701549,31/8/2024,11/03/2024,07/03/2025
Dental Machine,New Busia Maternity and Nursing Home,Barasa,799918546,,,,Busia,FDA,10/07/2025,10/07/2025,
Dental Machine,Holo Kadawa Community Hospital,Faith,720256376,Emmanuel,Dentist,758912078,Kisumu,CDXH501EQ241550,27/8/2024,27/8/2024,27/8/2025
Dental Machine,Katito Medical Centre,Godfrey,724817266,,,724223132,Sondu,,10/05/2024,10/05/2024,
Dental Machine,Naromoru Medical Services,,701178287,Dr Chege,Dentist,111567966,Naromoru,,29/10/2024,29/10/2024,28/04/2025
Dental Machine,Kiminini Cottage Hospital,Dr Faith Kiprop,707510434,,,,Kiminini,20182550134,29/11/2024,29/11/2024,29/11/2025
Dental Machine,Macmillan University Ltd,,,Fredrick Ndegwa,Dentist,718224586,Nairobi,,,,
Dental Machine,Baitul Shifac Medical Centre,Harun Mohammed,,,,,Nairobi,A02112448,14/5/2025,14/5/2025,
Dental Machine,Legacy FHOK Limited,Ishmael,724876771,,,,Mulot,A021112433,04/12/2025,10/12/2025,
Dental Machine,Mother Francisca Mission Hospital,Sr Rael Chumba,714013068,,,,Kapsabet,A02112471,17/06/2025,17/01/2026,
Dental Machine,Home Pearl Hospital,Milicent,727075819,,,,Ugunja,A22112433,07/10/2025,07/10/2025,07/10/2026
Dental Machine,St Lazarus Buyangu,,,,,,vihiga,A10425177,,,
Dental Machine,Stirling Healthcare,Eric,711377829,,,,Nakuru,A110425178,02/11/2026,02/11/2026,
Dental Machine,Mvita Healthcare,Jane,724998258,,,A26112434,mombasa,A26112434,13/02/2026,13/02/2026,13/06/2026
Dental Machine,Asad Medical Centre Annex,,748132785,,,A031124168,Hagadera,A031124168,18/02/2026,18/02/2026,18/09/2026
Dental Machine,Goshen Medical Clinic,Caleb,724883103,,,,Bomet,A261124154,15/03/2026,15/03/2026,15/09/2026
Dental Machine,Crescent Medical Centre,Benard,710672536,,,,Moganga,tjjr688,14/04/26,14/10/2026,
Dental Machine,ollessos Hills Medical Centre,Dr.K.Birech,785844840,,,,,TJ2688(AI),04/09/2026,10/09/2026,
Dental Machine,Minto Hospital,Dr.Mochama,782938289,,,852603312,,852603312,05/06/2026,05/06/2026,
Dental Machine,Deanesh Hospital,Mr Ferdinand,726390363,,,852603312,kitale,,05/06/2026,05/06/2026,
Theatre Equipment,Tosha Medical,Raymond,720470076,,,,Malindi,Super star  S6100D,,,
Theatre Equipment,Precise Healthcare,Collins,723876387,,,,Nairobi,Super star S6100D,,,
Theatre Equipment,St John Divine Nursing Home,,,,,,Nyeri,Comen AX 400,,,
Theatre Equipment,St John Divine Nursing Home,,,,,,Nyeri,Single dome operating light,,,
Theatre Equipment,Glogoh Hospital Limited,Dr Chirchir,722293563,,,,Eldoret,Comen AX 500,,,
Theatre Equipment,Cedar Hospital,Dr Joash,715220736,,,,Eldoret,Comen AX 400,,,
Theatre Equipment,Cedar Hospital,,,,,,Eldoret,Single dome operating light,,,
Theatre Equipment,Ultramed,,,,,,,Comen AX500,,,
Theatre Equipment,Mediquip Global,Daniel,724665394,,,,Nairobi,Super star S6100D,,,
Theatre Equipment,Bayan Nursing Home,Osman,702033380,Abdumalik,Anaesthetist,729750003,Wajir Town,Super star S6100A,,,
Theatre Equipment,Asad Medical Centre,Assad Ibrahim,110865059,Abdirahaman,Anaesthetist,726485696,Hagdera Town,Super star S6100D,,,
Theatre Equipment,Medist Medical Supplies,Marvin,718985387,,,,Nairobi,Super star S6100D,,,
Theatre Equipment,Golden Crest,Brenda,727222224,,,,,Super star S6100D,,,
Theatre Equipment,Asumbi Mission,Sis. Elizabeth,722589199,,,,Asumbi,Super star S6100D,,,
Theatre Equipment,Premium Technical Solutions,Rotich,720283153,,,,Kisumu,Super star S6100D,,,
Theatre Equipment,Arawelo,Kadro,700383657,,,,South  C,Super Star S6100A,,,
Theatre Equipment,St Gabriels  Hospital,Augustine,722902786,,,,Litein,,,,
Theatre Equipment,Katito Medical Centre,Godfrey,724817266,Dan Ogutu,Anaesthetist,703737020,Mbita,,,,
Theatre Equipment,Griftu Nursing Home,Adan,723929660,,,,Wajir,,,,
Theatre Equipment,Blessed to Bless,Japhet,720930215,,,,,Atlas N3,,,
Theatre Equipment,Gynocare Hospital,Mike,799486181,Evans,Anaesthetist,723043922,Eldoret,Atlas N3,,,
Theatre Equipment,Gynocare Hospital,,,Evayo,Anaesthetist,722493661,Eldoret,,,,
Theatre Equipment,St Helier Hospital,Patrick,721339682,Dr Orwa,Anaesthetist,725346680,,Atlas N3,,,
Theatre Equipment,Ultracare Specialist Hospital,Joyce,723560022,Dr Buya,Anaesthetist,722506014,Nyahururu,MZ03B307002,21/1/2025,,
Theatre Equipment,Ultracare Specialist Hospital,,,,,,Nyahururu,LED-700,,,
Theatre Equipment,Ultracare Specialist Hospital,,,,,,Nyahururu,2021099,,,
Theatre Equipment,Katito Medical Centree,Godfrey,724817266,Dan Ogutu,Anaesthetist,703737020,Mbita,CM783423E,05/06/2024,,
Theatre Equipment,Nirock Healthcare,Simiyu,701014416,Pamela Simiyu,Anaesthetist,742712886,Kamukuiywa,Hydraulic Theatre bedd,06/08/2024,,
Theatre Equipment,Haven Hospital,,,,,,Nairobi,Atlas N3,,,
Theatre Equipment,Bridgewell Scientific,,,,,,,2 Hydraulic Theatre bed,,,
Theatre Equipment,Covenant hospital,,,,,,Meru,Hdraulic theatre table,07/12/2024,,
Theatre Equipment,Covenant hospital,,,,,,Meru,Single dome operating light,,,
Theatre Equipment,Dliss Hospital,,,Geoffrey Lugairi,Anaesthetist,724811825,Mumias,MZ03B12002,03/05/2025,,
Theatre Equipment,Dliss Hospital,,,John Wahuyi,Anaesthetist,758506227,Mumias,,,,
Theatre Equipment,Trinity Mission Hospital,Sister Chepkorir,745200446,Anne,Anaesthetist,794034166,Leseru,Mz03ba/2003,04/02/2025,,
Theatre Equipment,Dliss Hospital,,,,,,,Single dome operating light,,,
Theatre Equipment,Legacy FHOK Hospital Ltd,Ishmael,706321961,,,,Bomet,Anaesthesia,07/03/2025,,
Theatre Equipment,Legacy FHOK Hospital Ltd,,,,,,Bomet,Single dome operating light,,,
Theatre Equipment,Comfy Healthcare,,,,,,,Single dome operating light,07/09/2025,,
Theatre Equipment,Haven Hospital,,,Okwara,Anaesthetist,706298941,Nairobi,T2590542,22/07/2025,,
Theatre Equipment,Tuungane Woodley Hospital,,,,,,Nairobi,CM064725C,23/07/2025,,
Theatre Equipment,Comfy Healthcare,Benjamin,700491040,,,,Malaba,CM098525D,28/07/2025,,
Theatre Equipment,Luka Premium Hospital,Joshua,799922241,,,,Butere,CM063625C,30/07/2025,,
Theatre Equipment,Luka Premium Hospital,,,,,,Butere,T2590345,30/07/2026,,
Theatre Equipment,Rehema Hospital Mbitini,,,,,,Kitui,Anaesthesia Superstar,08/07/2025,,
Theatre Equipment,Tiwani Highway Mission Hospital,,,,,,Kitale,Anaesthesia Superstar,28/08/2025,,
Theatre Equipment,Ebenezer Medical Centre,,,,,,Kitale,Hydraulic Operating Table,,,
Theatre Equipment,Langoni Hospital Limited,,,,,,,Operating light double Dome,,,
Theatre Equipment,Apicalmed Supplies,,,,,,,Hydraulic Operating Table,,,
Theatre Equipment,St Elizabeth Gekano,,,,,,Nyamira,CHM-201A,,,
Theatre Equipment,Maryrosa Health Centre,,,,,,Siaya,Anaesthesia Machine,,,
Theatre Equipment,Transmarigold Hospital,,,,,,Nairobi,CM164125H,,,
Theatre Equipment,Ultramedways Solutions Ltd,,,,,,,Operating light double Dome,,,
Theatre Equipment,Ultramedways Solutions Ltd,Fred,729292187,,,,KAMAKIS,MZO3C915021,13/02/2026,,
Theatre Equipment,Bsr Hospital,Sr. Imelda,0731505247 / 07215777076,,,,,CM971223K,25/03/26,,
Theatre Equipment,Alpha Hill Medical Centre,Kelvin,757564123,,,,,infant radiant warmer,22/03/26,,
Theatre Equipment,Danesh Hospital,Celestine,711592374,,,,Kitale,infant radiant warmer,03/03/2026,,
Theatre Equipment,Danesh Hospital,Celestine,711592374,,,,kitale,Single dome operating light,03/03/2026,,
Theatre Equipment,Danesh Hospital,Celestine,711592374,,,,Kitale,Anaesthesia Superstar,03/03/2026,,
Theatre Equipment,Bungoma Children Hospital,,,,,,,Air Conditioner,21/03/2026,,
Theatre Equipment,Minto Hospital,Dr Mochama,782938289,,,,kisii,Theatre light,05/06/2026,,
Theatre Equipment,minto hospital,Dr Mochama,782938289,,,,kisii,Theatre table,05/06/2026,,
Theatre Equipment,Deanesh hospital,,726390363,,,,kitale,HJI-H18-BP,16/05/2026,,
Theatre Equipment,Nyatieko Gesusu,Cyrus,723138357,,,,Kisii,CM1637254,22/05/2026,,
Theatre Equipment,Minto Hospital,Cyrus,723138357,,,,kisii,Theatre light,22/05/2026,,
Theatre Equipment,Minto Hospital,,,,,,kisii,Operating Light,,,
Theatre Equipment,Minto Hospital,,,,,,kisii,Mechanical Weighing Scale,,,
Ultrasound Machine,Bwena Medical Services,Abraham,723327289,,,,Makutano,80821110104,10/01/2022,10/01/2023,
Ultrasound Machine,St Gabriel Medical,Augustine kirui,722902786,,,,Litein,,,,
Ultrasound Machine,Lifetek Agencies,Onyango,722804216,,,,Nairobi,,,,
Ultrasound Machine,Shikendu Medical Clinic,Dr wanyama,758560764,,,,Kitale,,,,
Ultrasound Machine,Kitui Royal Diagnostic Centre,Steven,723899066,,,,Kitui,,,,
Ultrasound Machine,Legacy FHOK Medical Centre,Ishmael,724876771,Erick,Sonographer,715609875,"Longisa,Bomet",,,,
Ultrasound Machine,Bayan Nursing Home,Osman,702033380,Abdumalik,Sonographer,729750003,Wajir Town,,,,
Ultrasound Machine,Kalobeyei main Medical Centre,Robert,707125622,,,,,B02M32FFJ3100,12/06/2222,12/06/2023,
Ultrasound Machine,Katito  Medical Centre,Godfrey,724817266,,,,Mbita,,,,
Ultrasound Machine,Mtwapa Nursing,George,722797753,Bundi,Sonographer,727094497,Mtwapa,,,,
Ultrasound Machine,Mulutu Dispensary,Sr Cecilia,713062996,,,,,,,,
Ultrasound Machine,Mission of Mercy Hospital,Stephen,703347324,Christine Nangila,Sonographer,711442513,Bungoma,SH611320186034,02/04/2019,01/10/2024,
Ultrasound Machine,Modet Hospital,Emmanuel,716396222,Omanyala,Sonographer,720765517,Nambale,4007005652,06/06/2024,06/06/2025,
Ultrasound Machine,St Damiano Mission Hospital,Timothy Kibiwot,727515507,Cecilia,Sonographer,704693703,Bungoma,1231230638,25/6/2024,25/6/2024,25/2/2025
Ultrasound Machine,AGC Lions Hospital,William,713020003,Ngasura Too,Sonographer,720244814,Narok,123110654,14/3/2025,,
Ultrasound Machine,Dliss Hospital,Joseph,713230924,,,,Mumias,123110408,18/03/2025,18/03/2025,18/9/2025
Ultrasound Machine,Mutito Catholic Dispensary,Sr Catherine,720799997,,,,,CNSBA018-SA43B,28/05/2025,28/11/2025,
Ultrasound Machine,St Damiano Mission Hospital,,,,,,,DC 28,,,
Ultrasound Machine,Whiteline medical centre,,,,,,,,,,
Ultrasound Machine,katito  Medical Centre,Job Ochieng,759003980,,,,Katito,80826060111,31/7/2026,31/7/2026,31/1/2027
Electrolyte Analyzer,West Side Hospital,Majune,,Selline Anyango,Lab Technician,70197847,Malaba,DJ01D22040021,03/04/2023,,
Electrolyte Analyzer,Baraton Jeremic Health Centre,,,Albert,Lab Technician,724280083,Baraton,DJ372020900017,24/10/2023,21/11/2024,21/06/2025
Electrolyte Analyzer,Palmcare Sinai Hospital,Dr Odhiambo,721169686,David,Lab Technician,720070362,Eldoret,DJ3723040018,26/09/2024,15/03/2025,15/09/2025
Electrolyte Analyzer,Globecare Medical Centre,Asad,,,,,Nairobi,,,,
Electrolyte Analyzer,Hayat Medical Centre,,720987123,,,,South Sudan,DJ372310009,16/8/2024,,
Electrolyte Analyzer,Katito  Medical Centre,Godfrey,724817266,,,,Mbita,,29/11/2024,29/11/2024,29/05/2025
Electrolyte Analyzer,Trinity Mission Hospital,Sis Chepkorir,,Joyce Tulus,Lab Technician,726391181,Eldoret,DJ3724080018,20/1/2025,20/1/2025,20/7/2025
Electrolyte Analyzer,Huruma Health Centre,Alex,729434079,kibet,Lab Technician,714575196,Nakuru,DJ3725040009,08/05/2026,02/05/2027,
Semi-Automated Biochemistry Analyzer,Hermittage Medical,Dr Mohammed,733987123,Steve,Lab Technician,711740856,Nakuru,EC90052070156,,19/6/2024,19/6/2025
Semi-Automated Biochemistry Analyzer,Mission of Mercy Hospital,Dr Steve Wambati,703347324,Jonah,Lab Technician,717663416,Bungoma,EC90052070157,10/02/2021,,
Semi-Automated Biochemistry Analyzer,Prime Medical,Muli,724007494,,,,Thika,,,,
Semi-Automated Biochemistry Analyzer,Biocare 3 in 1 Agencies,Susan,723386555,,,,Nairobi,,,,
Semi-Automated Biochemistry Analyzer,NEW BUSIA NURSING HOME c,Stella,722478040,,,,Busia,,,,
Semi-Automated Biochemistry Analyzer,Wamo medical centre,Ahmud,722267364,Shuleh,Lab Technician,722381630,Nrb,,,,
Semi-Automated Biochemistry Analyzer,Benmac Hospital,Mrs Kandie,724226568,Beatrice,Lab Technician,723156904,Njoro,EC90052271326,15/12/2022,08/08/2024,04/08/2025
Semi-Automated Biochemistry Analyzer,Ematsayi Mission Hospital,Donna,112255522,Julius Were,Lab Technician,701714180,Ematsayi,EC90052271323,27/01/2023,,
Semi-Automated Biochemistry Analyzer,Pendo point medical centre,Paul,735081205,MARTHA,Lab Technician,706671064,Ruiru,EC90052271324,16/2/2023,31/05/2024,31/12/2025
Semi-Automated Biochemistry Analyzer,Shynon Medical Centre,Javan,710236277,,,,Nairobi,EC90052271325,,27/03/2025,27/10/2025
Semi-Automated Biochemistry Analyzer,Katito  medical centre,Godfrey,724817266,,,,Mbita,,,,
Semi-Automated Biochemistry Analyzer,Itarc Kenya Limited,Joseph Ndungu,717252716,Joseph,Lab Technician,717252714,Longonot,SN3002B062316646,23/05/2024,22/1/2025,22/8/2025
Semi-Automated Biochemistry Analyzer,Kape Pearl Medical Centre,Solomon,724414772,,,,,SN3002BO6231672,25/11/2020,,
Semi-Automated Biochemistry Analyzer,Clayton Family Medical Centre,Kenneth,717847174,Kennedy Kidosi,Lab Technician,717847174,Kimilili,SN3002B102214820,09/04/2023,,
Semi-Automated Biochemistry Analyzer,Mariakani Medical Health Centre,Patrick,728067940,,,,Kaloleni,SN3002B062316747,22/6/2024,22/06/2024,22/12/2024
Semi-Automated Biochemistry Analyzer,Kivuli Dispensary,Abdul,722966605,Ann,Lab Technician,708177371,Nairobi,SN3002B042418119,07/01/2024,04/04/2025,10/04/2025
Semi-Automated Biochemistry Analyzer,Wema Medkin Medical Centr,Rhoda,723111711,Ann,Lab Technician,796931399,Kirinyaga,SN3002B062316660,02/12/2025,02/12/2025,08/12/2025
Semi-Automated Biochemistry Analyzer,Harun Mohammed,,,,,,Nairobi,,,,
Semi-Automated Biochemistry Analyzer,Dawafront,,,,,,,,,,
Semi-Automated Biochemistry Analyzer,Makindu Catholic Dispensary,SR Elizabeth,115825626,Jackline,Lab Technician,717670793,Makindu,SN302B102419414,16/04/2025,16/04/2025,16/12/2025
Semi-Automated Biochemistry Analyzer,Benmac Hospital,Langat,706246239,,,,NJoro,EC90052613030,02/11/2026,02/11/2026,06/11/2026
Semi-Automated Biochemistry Analyzer,Kiplombe Medical Centre,,,,,,,EC-90052613029,,,
Fully Automated Dry Chemistry Analyzer,Baraton Jeremic Health Centre,,,Albert,Lab Technician,724280083,Baraton,202100801,25/10/2022,21/11/2024,21/06/2025
Fully Automated Dry Chemistry Analyzer,Palmcare Sinai Hospital,Dr Odhiambo,721169686,David,Lab Technician,720070362,Eldoret,2023051101,26/09/2024,26/09/2024,06/11/2025
Fully Automated Dry Chemistry Analyzer,Katito medical centre,Godfrey,724817266,Harriet,Lab Technician,,Mbita,2022083101,11/02/2024,11/02/2024,29/06/2025
Fully Automated Dry Chemistry Analyzer,Trinity Mission Hospital,Sis Chepkorir,745200446,,,,Eldoret,CA150Y00061,23/02/2025,23/02/2025,23/08/2025
Fully Automated Dry Chemistry Analyzer,Kargi Dispensary,,,,,,Marsabit,,,,
Maternity Equipment,Matuu Mission Health Centre,Felistus,715432775,,,,Machakos,Baby Incubator,,,
Maternity Equipment,Kingdom Hospital,David,737777252,,,,Webuye,,,,
Maternity Equipment,Waamo medical centre,Ahmud,722267364,Shuleh,In Charge,722381630,Nrb,,,,
Maternity Equipment,Legacy FHOK Medical Centre,Ishmael,724876771,Erick,In Charge,715609875,"Longisa,Bomet",,,,
Maternity Equipment,Golden Crest,,,,,,,,,,
Maternity Equipment,Gynocare Womens and Fistula Hospital,Mike,777486181,,,,Eldoret,,,,
Maternity Equipment,Ultacare Hospital,Derrick,705233441,,,,,,,,
Maternity Equipment,ST Damiano Hospital,Sammy,729085449,,,,,,,,
Maternity Equipment,St Helier Hospital,Patrick,721339682,,,,,,,,
Maternity Equipment,Rapha Total Eldoret,,,,,,,,,,
Maternity Equipment,Blessed to Bless,Japhet,720930215,,,,,,,,
Maternity Equipment,Alliance Hospital,Dr Liban,711391833,,,,,,,,
Maternity Equipment,Mother and Baby Hospital,Sarah Ndinda,717548062,,,,Nairobi,,,,
Maternity Equipment,Katito Medical Centre,,,,,,,PHOTOTHERAPY LIGHT,,,
Maternity Equipment,Mophic Enterprise Limited,,,,,,,Baby Incubator,,,
Maternity Equipment,Rycwdental Supplies,,,,,,,Hydraulic Delivery Bed,,,
Maternity Equipment,Arawelo,,,,,,,,,,
Maternity Equipment,Benmac Medical Centre,Kandie,724226568,Caroline,In Charge,705197820,Njoro Town,EZY2100Z3210204025,22/2/2021,,
Maternity Equipment,NEW BUSIA NURSING HOME,Stella,722478040,,,,Busia,Infant Rdiant Warmer,,,
Maternity Equipment,Mutito Mission,,,,,,,Infant Rdiant Warmer,,,
Maternity Equipment,Ultracare Specialist,Joyce,,,,,Nyahururu,1230824033,26/4/2024,,
Maternity Equipment,Ultracare Specialist,,,,,,Nyahururu,Infant phototherapy unit,19/06/2024,19/06/2025,
Maternity Equipment,Ultracare Specialist,,,,,,Nyahururu,2240106016,14/06/2024,19/06/2025,
Maternity Equipment,Tonny Onyango,,,,,,,Infant Rdiant Warmer,01/11/2022,,
Maternity Equipment,Matuu Mission Hospital,,,,,,,Infant Rdiant Warmer,,,
Maternity Equipment,St Peter Clevers,Sr Christine,713022417,,,,Kiserian,1220811046,18/5/2023,,
Maternity Equipment,Covenant hospital,,,,,,,1240411003,07/12/2024,07/12/2025,
Maternity Equipment,Covenant hospital,,,,,,,22401103029,07/12/2024,07/12/2024,
Maternity Equipment,Palmcare Sinai Hospital,Dr Odhiambo,,,,,,,,,
Maternity Equipment,Qeyraat Hospital,,,Joyce Maina,In Charge,759614423,Nairobi,124071004,09/12/2024,09/12/2024,
Maternity Equipment,Haven Hospital,,,Maureen Okwara,In Charge,706298941,Nairobi,2240408021,10/03/2024,,
Maternity Equipment,Hamat Hospital,,,,,,Nairobi,Infant Radiant Warmer,,,
Maternity Equipment,Cedar hospital,,,,,,,Radiant warmer,07/09/2024,03/12/2025,
Maternity Equipment,Ortum Mission Hospital,John,717447559,Biegon0112818528,In Charge,,,Vital Signs monitor,15/1/025,15/1/025,
Maternity Equipment,Scharts Medical Centre,Constance,714447031,,,,Mombasa,12410240016,20/1/2025,,
Maternity Equipment,ST Damiano Hospital,Sammy,729085449,,,,Bungoma,Infant Radiant Warmer,,,
Maternity Equipment,Mtwapa Medical Clinic,Bill,713256000,,,,Mtwapa,Infant Rdiant Warmer,,,
